,0
v940,161
v183,97
v121,37
v969,30
v596,28
v277,25
v125,22
v086,18
v914,15
v883,15
v445,12
v117,12
v428,11
v881,11
v153,10
v602,10
v457,10
v560,9
v791,8
v689,7
v704,5
v239,5
v990,5
v351,5
v234,4
v568,4
v438,3
v569,3
v372,3
v377,3
v329,2
v599,2
v066,2
v446,2
v326,1
v886,1
v813,1
v739,1
v690,0
v688,0
v670,0
v722,0
v723,0
v669,0
v724,0
v667,0
v728,0
v666,0
v665,0
v664,0
v730,0
v663,0
v659,0
v658,0
v656,0
v731,0
v655,0
v651,0
v650,0
v721,0
v720,0
v673,0
v711,0
v687,0
v691,0
v693,0
v695,0
v683,0
v698,0
v701,0
v702,0
v681,0
v719,0
v679,0
v712,0
v713,0
v716,0
v677,0
v675,0
v674,0
v717,0
v686,0
v003,0
v649,0
v582,0
v575,0
v573,0
v571,0
v570,0
v566,0
v561,0
v556,0
v555,0
v548,0
v547,0
v546,0
v545,0
v544,0
v543,0
v542,0
v541,0
v540,0
v539,0
v533,0
v524,0
v523,0
v522,0
v521,0
v519,0
v514,0
v576,0
v583,0
v648,0
v585,0
v639,0
v638,0
v637,0
v636,0
v635,0
v629,0
v625,0
v624,0
v734,0
v622,0
v620,0
v619,0
v617,0
v615,0
v613,0
v611,0
v607,0
v606,0
v603,0
v595,0
v594,0
v591,0
v589,0
v588,0
v586,0
v623,0
v752,0
v737,0
v861,0
v927,0
v924,0
v919,0
v917,0
v916,0
v915,0
v912,0
v911,0
v908,0
v904,0
v903,0
v902,0
v900,0
v898,0
v896,0
v895,0
v893,0
v892,0
v890,0
v882,0
v880,0
v879,0
v878,0
v877,0
v874,0
v873,0
v869,0
v928,0
v930,0
v933,0
v960,0
v997,0
v996,0
v991,0
v989,0
v984,0
v981,0
v979,0
v968,0
v967,0
v966,0
v964,0
v963,0
v957,0
v936,0
v955,0
v952,0
v951,0
v950,0
v949,0
v948,0
v946,0
v945,0
v943,0
v941,0
v939,0
v938,0
v864,0
v860,0
v742,0
v858,0
v786,0
v784,0
v783,0
v779,0
v778,0
v777,0
v774,0
v773,0
v772,0
v771,0
v770,0
v769,0
v767,0
v764,0
v763,0
v761,0
v758,0
v756,0
v755,0
v754,0
v510,0
v751,0
v750,0
v746,0
v745,0
v744,0
v743,0
v787,0
v788,0
v792,0
v833,0
v855,0
v854,0
v848,0
v847,0
v846,0
v845,0
v841,0
v839,0
v838,0
v837,0
v836,0
v834,0
v832,0
v796,0
v831,0
v830,0
v829,0
v827,0
v824,0
v821,0
v815,0
v811,0
v808,0
v802,0
v798,0
v797,0
v512,0
v485,0
v506,0
v122,0
v185,0
v181,0
v178,0
v177,0
v175,0
v173,0
v171,0
v170,0
v169,0
v168,0
v165,0
v164,0
v163,0
v162,0
v160,0
v157,0
v155,0
v154,0
v150,0
v149,0
v147,0
v146,0
v144,0
v143,0
v138,0
v136,0
v131,0
v188,0
v192,0
v193,0
v223,0
v244,0
v243,0
v241,0
v240,0
v238,0
v233,0
v232,0
v231,0
v229,0
v227,0
v226,0
v225,0
v222,0
v198,0
v221,0
v218,0
v216,0
v212,0
v211,0
v208,0
v206,0
v204,0
v203,0
v202,0
v201,0
v199,0
v127,0
v120,0
v505,0
v119,0
v062,0
v061,0
v058,0
v057,0
v055,0
v050,0
v048,0
v041,0
v038,0
v035,0
v033,0
v032,0
v030,0
v029,0
v028,0
v027,0
v026,0
v025,0
v023,0
v021,0
v020,0
v018,0
v017,0
v015,0
v014,0
v008,0
v007,0
v063,0
v064,0
v068,0
v095,0
v118,0
v116,0
v115,0
v112,0
v111,0
v109,0
v108,0
v106,0
v105,0
v103,0
v098,0
v096,0
v094,0
v069,0
v091,0
v090,0
v089,0
v088,0
v085,0
v083,0
v079,0
v077,0
v076,0
v073,0
v072,0
v070,0
v245,0
v246,0
v249,0
v250,0
v433,0
v432,0
v430,0
v429,0
v427,0
v425,0
v424,0
v423,0
v422,0
v420,0
v418,0
v417,0
v416,0
v414,0
v412,0
v411,0
v408,0
v407,0
v406,0
v405,0
v402,0
v400,0
v399,0
v398,0
v393,0
v392,0
v391,0
v434,0
v435,0
v439,0
v477,0
v501,0
v499,0
v497,0
v496,0
v495,0
v490,0
v489,0
v487,0
v006,0
v483,0
v482,0
v480,0
v476,0
v440,0
v472,0
v471,0
v470,0
v469,0
v467,0
v464,0
v462,0
v461,0
v459,0
v455,0
v451,0
v441,0
v387,0
v385,0
v380,0
v279,0
v304,0
v303,0
v302,0
v300,0
v299,0
v297,0
v290,0
v289,0
v288,0
v284,0
v283,0
v281,0
v272,0
v307,0
v270,0
v269,0
v266,0
v263,0
v261,0
v260,0
v259,0
v258,0
v256,0
v255,0
v253,0
v252,0
v305,0
v312,0
v378,0
v340,0
v376,0
v366,0
v365,0
v361,0
v360,0
v358,0
v356,0
v352,0
v349,0
v348,0
v344,0
v341,0
v339,0
v313,0
v338,0
v337,0
v334,0
v332,0
v331,0
v330,0
v324,0
v319,0
v318,0
v317,0
v316,0
v314,0
v999,0
