,0
v183,0.016614558
v940,0.016359445
v914,0.010910629
v372,0.010476088
v326,0.01011555
v086,0.009538138
v969,0.0092763025
v121,0.008910664
v428,0.008900024
v445,0.008628491
v125,0.008415354
v568,0.00838415
v938,0.008148278
v560,0.008032635
v277,0.007896323
v591,0.007821707
v596,0.007376848
v602,0.007283957
v234,0.0072691417
v951,0.007187458
v724,0.0071558086
v430,0.007139462
v772,0.0070515224
v439,0.0070080664
v249,0.0069154035
v218,0.006889692
v836,0.0067918296
v457,0.0067707817
v786,0.0067557837
v908,0.006743664
v755,0.006717934
v883,0.0066083455
v704,0.006415464
v967,0.0064058267
v416,0.0063950103
v356,0.006389069
v131,0.0062501836
v239,0.0062172106
v446,0.006093418
v422,0.0060741836
v160,0.0060588513
v689,0.006040019
v351,0.0060100663
v028,0.0059924363
v339,0.0059562577
v385,0.005942663
v438,0.005935499
v583,0.0059342585
v496,0.005894696
v990,0.005893802
v412,0.0058784117
v999,0.005857605
v756,0.005845373
v117,0.005840329
v035,0.0058245426
v378,0.005786913
v222,0.0057724807
v792,0.0057720486
v085,0.0056769014
v698,0.0056015346
v613,0.0055656442
v462,0.0055448576
v788,0.00548817
v811,0.005488156
v948,0.00547039
v204,0.005429129
v542,0.005409362
v787,0.0054013086
v830,0.00537743
v655,0.005319642
v569,0.005310188
v393,0.0052673616
v878,0.0052661346
v791,0.005259688
v008,0.005251373
v512,0.0052503836
v192,0.0052390764
v018,0.005230915
v411,0.005221068
v281,0.005220635
v155,0.0052096397
v963,0.0052015088
v177,0.0051874323
v585,0.0051769256
v302,0.0051633557
v571,0.005156197
v745,0.005145396
v423,0.00514534
v377,0.005133219
v943,0.005132224
v153,0.0051294756
v824,0.0050931983
v169,0.005087302
v895,0.005048147
v656,0.0050197314
v144,0.0050014444
v316,0.004990804
v163,0.0049472423
v773,0.004944786
v090,0.0048601395
v440,0.004857227
v307,0.004852476
v391,0.0048406934
v487,0.0048325947
v675,0.0048289816
v881,0.004796057
v162,0.0047763623
v317,0.0047599473
v069,0.004700758
v886,0.0046990993
v586,0.0046757036
v032,0.0046738475
v797,0.004673356
v622,0.0046604346
v414,0.004651865
v996,0.0046433234
v808,0.0046243737
v734,0.0045842053
v313,0.0045608873
v952,0.004558328
v341,0.004545988
v138,0.00452961
v171,0.0045159482
v029,0.004513307
v425,0.004466624
v767,0.0044601006
v778,0.004458674
v665,0.0044533215
v193,0.0044053476
v798,0.004404589
v966,0.004397821
v539,0.004391119
v340,0.0043864055
v464,0.004344454
v020,0.004325988
v284,0.0042903516
v178,0.0042823646
v229,0.004259414
v245,0.0042359973
v874,0.0042276722
v664,0.0042251
v979,0.004183082
v467,0.004167003
v497,0.0041262885
v103,0.0041158837
v118,0.0040910146
v070,0.004080586
v349,0.0040798383
v650,0.0039986633
v771,0.0039621633
v203,0.003942637
v288,0.0039268616
v900,0.003900805
v181,0.0038608024
v495,0.0038474575
v623,0.0038041584
v366,0.0037933087
v365,0.003773747
v208,0.0037600962
v272,0.0037319786
v240,0.0036546753
v120,0.003638084
v957,0.0036325762
v470,0.0036253678
v902,0.003609162
v981,0.0035852918
v231,0.0035146354
v225,0.0035085646
v073,0.0035028623
v154,0.0034938548
v108,0.0034906976
v763,0.0033176283
v543,0.0032203142
v933,0.0031953969
v691,0.0031771674
v127,0.0031587775
v847,0.0031548433
v688,0.0031438565
v637,0.0030454155
v837,0.00291556
v164,0.0027414968
v603,0.0025113684
v185,0.002282544
v848,0.0022668487
v261,0.0022650626
v796,0.0021844862
v946,0.0021743095
v433,0.0021182252
v615,0.0021163865
v079,0.0020062102
v469,0.0015977497
v635,0.0
v949,0.0
v693,0.0
v629,0.0
v991,0.0
v702,0.0
v695,0.0
v625,0.0
v945,0.0
v701,0.0
v690,0.0
v711,0.0
v712,0.0
v713,0.0
v624,0.0
v997,0.0
v636,0.0
v663,0.0
v950,0.0
v687,0.0
v658,0.0
v666,0.0
v717,0.0
v667,0.0
v960,0.0
v964,0.0
v669,0.0
v968,0.0
v651,0.0
v649,0.0
v648,0.0
v670,0.0
v639,0.0
v984,0.0
v989,0.0
v673,0.0
v674,0.0
v955,0.0
v638,0.0
v677,0.0
v679,0.0
v681,0.0
v683,0.0
v659,0.0
v686,0.0
v716,0.0
v861,0.0
v941,0.0
v821,0.0
v815,0.0
v879,0.0
v813,0.0
v880,0.0
v802,0.0
v620,0.0
v882,0.0
v890,0.0
v892,0.0
v784,0.0
v783,0.0
v893,0.0
v779,0.0
v777,0.0
v774,0.0
v877,0.0
v827,0.0
v898,0.0
v829,0.0
v858,0.0
v855,0.0
v854,0.0
v864,0.0
v869,0.0
v846,0.0
v845,0.0
v841,0.0
v839,0.0
v873,0.0
v838,0.0
v834,0.0
v833,0.0
v832,0.0
v831,0.0
v896,0.0
v770,0.0
v719,0.0
v860,0.0
v737,0.0
v919,0.0
v731,0.0
v730,0.0
v924,0.0
v728,0.0
v927,0.0
v928,0.0
v723,0.0
v722,0.0
v930,0.0
v936,0.0
v721,0.0
v939,0.0
v720,0.0
v739,0.0
v916,0.0
v769,0.0
v742,0.0
v764,0.0
v761,0.0
v758,0.0
v903,0.0
v904,0.0
v911,0.0
v754,0.0
v912,0.0
v752,0.0
v751,0.0
v750,0.0
v746,0.0
v915,0.0
v744,0.0
v743,0.0
v917,0.0
v003,0.0
v619,0.0
v199,0.0
v226,0.0
v223,0.0
v221,0.0
v216,0.0
v212,0.0
v211,0.0
v206,0.0
v202,0.0
v201,0.0
v198,0.0
v232,0.0
v188,0.0
v175,0.0
v173,0.0
v170,0.0
v168,0.0
v165,0.0
v157,0.0
v150,0.0
v149,0.0
v227,0.0
v233,0.0
v146,0.0
v259,0.0
v290,0.0
v289,0.0
v283,0.0
v279,0.0
v270,0.0
v269,0.0
v266,0.0
v263,0.0
v260,0.0
v258,0.0
v238,0.0
v256,0.0
v255,0.0
v253,0.0
v252,0.0
v250,0.0
v246,0.0
v244,0.0
v243,0.0
v241,0.0
v147,0.0
v143,0.0
v299,0.0
v033,0.0
v062,0.0
v061,0.0
v058,0.0
v057,0.0
v055,0.0
v050,0.0
v048,0.0
v041,0.0
v038,0.0
v030,0.0
v064,0.0
v027,0.0
v026,0.0
v025,0.0
v023,0.0
v021,0.0
v017,0.0
v015,0.0
v014,0.0
v007,0.0
v063,0.0
v066,0.0
v136,0.0
v098,0.0
v122,0.0
v119,0.0
v116,0.0
v115,0.0
v112,0.0
v111,0.0
v109,0.0
v106,0.0
v105,0.0
v096,0.0
v068,0.0
v095,0.0
v094,0.0
v091,0.0
v089,0.0
v088,0.0
v083,0.0
v077,0.0
v076,0.0
v072,0.0
v297,0.0
v300,0.0
v617,0.0
v505,0.0
v533,0.0
v524,0.0
v523,0.0
v522,0.0
v521,0.0
v519,0.0
v514,0.0
v510,0.0
v506,0.0
v501,0.0
v541,0.0
v499,0.0
v490,0.0
v489,0.0
v006,0.0
v483,0.0
v482,0.0
v480,0.0
v477,0.0
v476,0.0
v540,0.0
v544,0.0
v471,0.0
v576,0.0
v611,0.0
v607,0.0
v606,0.0
v599,0.0
v595,0.0
v594,0.0
v589,0.0
v588,0.0
v582,0.0
v575,0.0
v545,0.0
v573,0.0
v570,0.0
v566,0.0
v561,0.0
v556,0.0
v555,0.0
v548,0.0
v547,0.0
v546,0.0
v472,0.0
v461,0.0
v303,0.0
v332,0.0
v361,0.0
v360,0.0
v358,0.0
v352,0.0
v348,0.0
v344,0.0
v338,0.0
v337,0.0
v334,0.0
v331,0.0
v380,0.0
v330,0.0
v329,0.0
v324,0.0
v319,0.0
v318,0.0
v314,0.0
v312,0.0
v305,0.0
v304,0.0
v376,0.0
v387,0.0
v459,0.0
v420,0.0
v455,0.0
v451,0.0
v441,0.0
v435,0.0
v434,0.0
v432,0.0
v429,0.0
v427,0.0
v424,0.0
v418,0.0
v392,0.0
v417,0.0
v408,0.0
v407,0.0
v406,0.0
v405,0.0
v402,0.0
v400,0.0
v399,0.0
v398,0.0
v485,0.0
